SETTLEMENT,LHZ_CODE,DISTRICT,REGION,LHZ
ibrahimyarowburow,16,Baydhaba,Bay,bay
idaada,16,Buur Hakaba,Bay,bay
idadkoble,16,Diinsoor,Bay,bay
idale,16,Baydhaba,Bay,bay
idedlow,16,Baydhaba,Bay,bay
ideedgeri,16,Baydhaba,Bay,bay
ideedley,16,Baydhaba,Bay,bay
idhankadeeryahan,3,Gebiley,Woqooyi Galbeed,nw
idhankajufadi,3,Gebiley,Woqooyi Galbeed,nw
igeysi,16,Buur Hakaba,Bay,bay
iidawadow,16,Buur Hakaba,Bay,bay
iidlowabow,16,Baydhaba,Bay,bay
iidoole,5,Cadaado,Galgaduud,hawd
iidowliibaan,17,Afgooye,Shabelle Hoose,rainfed
iilile,16,Baydhaba,Bay,bay
iinkuuri,16,Baydhaba,Bay,bay
ijaara,3,Gebiley,Woqooyi Galbeed,nw
ijaarahose,3,Gebiley,Woqooyi Galbeed,nw
ijiwaaji,3,Gebiley,Woqooyi Galbeed,nw
ikireyawsubow,16,Buur Hakaba,Bay,bay
ikiroylaafta,16,Buur Hakaba,Bay,bay
iladadubgaxsatellite,6,Ceel Afweyn,Sanaag,nip
ilbeete,16,Diinsoor,Bay,bay
ilfoocshe,8,Jariiban,Mudug,deeh
ilintagalbeed,2,Hargeysa,Woqooyi Galbeed,west golis
ilkaweyne,3,Gebiley,Woqooyi Galbeed,nw
illad,7,Ceel Afweyn,Sanaag,east golis
illig,8,Eyl,Nugaal,deeh
illinta,3,Gebiley,Woqooyi Galbeed,nw
illintabari,2,Hargeysa,Woqooyi Galbeed,west golis
illintadhexe,2,Hargeysa,Woqooyi Galbeed,west golis
ilmadedo,3,Gebiley,Woqooyi Galbeed,nw
inabulshaale,6,Ceerigaabo,Sanaag,nip
inaguuxaa,5,Hargeysa,Woqooyi Galbeed,hawd
inahigire,5,Hargeysa,Woqooyi Galbeed,hawd
inahindise,5,Hargeysa,Woqooyi Galbeed,hawd
indhocad,14,Balcad,Shabelle Dhexe,riverine
iridashiikhcali,17,Balcad,Shabelle Dhexe,rainfed
irintayarey,16,Baydhaba,Bay,bay
irintiweyn,16,Baydhaba,Bay,bay
iriroogyarey,16,Baydhaba,Bay,bay
iriwerka,16,Baydhaba,Bay,bay
iriwerki,16,Baydhaba,Bay,bay
irridda,11,Belet Xaawo,Gedo,southern
irtoole,16,Baydhaba,Bay,bay
irwer,16,Baydhaba,Bay,bay
isduugdi,16,Baydhaba,Bay,bay
isgowrac,5,Gaalkacyo,Mudug,hawd
isguulata,16,Baydhaba,Bay,bay
iskaashiti,16,Buur Hakaba,Bay,bay
iskoriis,16,Baydhaba,Bay,bay
iskorosaar,6,Iskushuban,Bari,nip
islawareeg,16,Baydhaba,Bay,bay
isneeb,16,Buur Hakaba,Bay,bay
jaamacliibaan,5,Burco,Togdheer,hawd
jabriil,16,Baydhaba,Bay,bay
jafaay,16,Diinsoor,Bay,bay
jalam,5,Burtinle,Nugaal,hawd
jaleelo,2,Hargeysa,Woqooyi Galbeed,west golis
jamaaca,16,Diinsoor,Bay,bay
jamaqamar,5,Burco,Togdheer,hawd
jameecaadka,5,Burco,Togdheer,hawd
jameecofurid,16,Baydhaba,Bay,bay
jameecomisro,17,Balcad,Shabelle Dhexe,rainfed
jameecomubaarak,17,Balcad,Shabelle Dhexe,rainfed
jarahorato,3,Borama,Awdal,nw
jeda,17,Balcad,Shabelle Dhexe,rainfed
jedad,6,Qardho,Bari,nip
jeedaal,6,Qardho,Bari,nip
jeelow,16,Baydhaba,Bay,bay
jeenyolaaye,5,Owdweyne,Togdheer,hawd
jibagalle,5,Burtinle,Nugaal,hawd
jidhigabiley,3,Gebiley,Woqooyi Galbeed,nw
jifle,8,Eyl,Nugaal,deeh
jiidali,7,Ceerigaabo,Sanaag,east golis
jiifdhere,16,Baydhaba,Bay,bay
jiilaale,14,Balcad,Shabelle Dhexe,riverine
jiingada,5,Burtinle,Nugaal,hawd
jiingadda,6,Bossaso,Bari,nip
jiirogurey,16,Baydhaba,Bay,bay
jiiromadsheeg,16,Baydhaba,Bay,bay
jirjir,3,Borama,Awdal,nw
jirow,16,Baydhaba,Bay,bay
jowharsoomaali,14,Jowhar,Shabelle Dhexe,riverine
jufa,3,Gebiley,Woqooyi Galbeed,nw
jufogaliiley,3,Borama,Awdal,nw
juqda,16,Qansax Dheere,Bay,bay
jurow,16,Qansax Dheere,Bay,bay
juurile,6,Bossaso,Bari,nip
kaabadaqunyardaga,5,Hargeysa,Woqooyi Galbeed,hawd
kaamcumar,5,Hargeysa,Woqooyi Galbeed,hawd
kaaysiney,16,Baydhaba,Bay,bay
kabaalwaq,8,Eyl,Nugaal,deeh
kabal,8,Bandarbeyla,Bari,deeh
kabarka,16,Baydhaba,Bay,bay
kabdaydale,14,Jowhar,Shabelle Dhexe,riverine
kadigadhanan,3,Gebiley,Woqooyi Galbeed,nw
kafangooy,16,Baydhaba,Bay,bay
kaladhac,6,Laasqoray,Sanaag,nip
kalajeex,6,Laas Caanood,Sool,nip
kalatooxan,17,Balcad,Shabelle Dhexe,rainfed
kalax,6,Laas Caanood,Sool,nip
kalbarre,2,Sheikh,Togdheer,west golis
kalboocasatellite,6,Ceel Afweyn,Sanaag,nip
kalcad,6,Taleex,Sool,nip
kaldhadhaab,2,Sheikh,Togdheer,west golis
kalgaraf,6,Ceerigaabo,Sanaag,nip
kalis,6,Garoowe,Nugaal,nip
kalmac,7,Ceel Afweyn,Sanaag,east golis
kalmacsare,7,Ceerigaabo,Sanaag,east golis
kalmasso,6,Iskushuban,Bari,nip
kalqorey,2,Hargeysa,Woqooyi Galbeed,west golis
kalqudhun,5,Burco,Togdheer,hawd
kalsheekh,6,Ceel Afweyn,Sanaag,nip
kalundi,14,Jowhar,Shabelle Dhexe,riverine
kamtuug,5,Hargeysa,Woqooyi Galbeed,hawd
kanaafi,16,Baydhaba,Bay,bay
kananax,16,Diinsoor,Bay,bay
karantiil,13,Luuq,Gedo,riverine
karduush,8,Iskushuban,Bari,deeh
karinbiyood,6,Ceel Afweyn,Sanaag,nip
karindabayl,5,Laas Caanood,Sool,hawd
karingorfood,5,Laas Caanood,Sool,hawd
karinlabi,5,Hargeysa,Woqooyi Galbeed,hawd
karkarka,16,Baydhaba,Bay,bay
xajiinle,1,Lughaye,Awdal,guban
kashiiddi,16,Baydhaba,Bay,bay
kashiidoow,16,Baydhaba,Bay,bay
kaxandho,9,Cadaado,Galgaduud,addun
kaxarey,14,Jowhar,Shabelle Dhexe,riverine
kaxarow,14,Jowhar,Shabelle Dhexe,riverine
kayaxa,7,Qandala,Bari,east golis
kayow,16,Baydhaba,Bay,bay
kayuugey,16,Baydhaba,Bay,bay
keerowdiiga,16,Buur Hakaba,Bay,bay
kerowmalaaq,16,Baydhaba,Bay,bay
khalafow,17,Jowhar,Shabelle Dhexe,rainfed
kheyraxerta,6,Taleex,Sool,nip
khuuriley,5,Jariiban,Mudug,hawd
kidhikooy,16,Baydhaba,Bay,bay
kidigadhanaan,3,Gebiley,Woqooyi Galbeed,nw
kidikoy,16,Baydhaba,Bay,bay
kiinje,16,Baydhaba,Bay,bay
kisurooy,16,Baydhaba,Bay,bay
kisurun,16,Buur Hakaba,Bay,bay
kiyaana,16,Buur Hakaba,Bay,bay
kobaqabta,16,Buur Hakaba,Bay,bay
kobdhexaad,6,Bossaso,Bari,nip
kobedooy,16,Baydhaba,Bay,bay
kobigoodi,16,Baydhaba,Bay,bay
kobonkawkaw,16,Baydhaba,Bay,bay
kolowsha,16,Baydhaba,Bay,bay
komboye,6,Taleex,Sool,nip
koongo,14,Balcad,Shabelle Dhexe,riverine
koorow,16,Baydhaba,Bay,bay
korjin,3,Gebiley,Woqooyi Galbeed,nw
korman,16,Baydhaba,Bay,bay
koronbood,16,Diinsoor,Bay,bay
korowrooge,16,Baydhaba,Bay,bay
korowshiida,16,Buur Hakaba,Bay,bay
koroy,16,Buur Hakaba,Bay,bay
korunbod,16,Qansax Dheere,Bay,bay
kubo,6,Taleex,Sool,nip
kudkoble,16,Baydhaba,Bay,bay
kulaal,6,Ceerigaabo,Sanaag,nip
kulan,16,Baydhaba,Bay,bay
kulanweyne,17,Balcad,Shabelle Dhexe,rainfed
kulmisweyne,14,Jowhar,Shabelle Dhexe,riverine
kulub,8,Jariiban,Mudug,deeh
kulule,8,Bandarbeyla,Bari,deeh
kulunka,16,Baydhaba,Bay,bay
kunyaqorow,16,Buur Hakaba,Bay,bay
kunyi,16,Buur Hakaba,Bay,bay
kunyoo,16,Buur Hakaba,Bay,bay
kunyorooble,16,Buur Hakaba,Bay,bay
kurkuri,16,Baydhaba,Bay,bay
kurshaale,14,Balcad,Shabelle Dhexe,riverine
kurteeley,16,Buur Hakaba,Bay,bay
kurto,16,Baydhaba,Bay,bay
kurtumaale,16,Baydhaba,Bay,bay
kurxuntaaroor,5,Hargeysa,Woqooyi Galbeed,hawd
kuujiwaraabay,16,Baydhaba,Bay,bay
kuullaw,16,Baydhaba,Bay,bay
kuulmacalin,16,Buur Hakaba,Bay,bay
kuunya,16,Buur Hakaba,Bay,bay
kuunyi,16,Baydhaba,Bay,bay
kuunyidheefle,16,Buur Hakaba,Bay,bay
kuunyoburow,16,Buur Hakaba,Bay,bay
kuunyoharubow,16,Buur Hakaba,Bay,bay
kuunyomegentole,16,Baydhaba,Bay,bay
kuunyoomin,16,Baydhaba,Bay,bay
kuurowawriko,16,Buur Hakaba,Bay,bay
kuushifad,16,Baydhaba,Bay,bay
laabaas,6,Taleex,Sool,nip
laaca,3,Gebiley,Woqooyi Galbeed,nw
laacdheere,6,Garoowe,Nugaal,nip
laag,7,Bossaso,Bari,east golis
laagmaraa,3,Borama,Awdal,nw
laako,7,Laasqoray,Sanaag,east golis
laalays,3,Hargeysa,Woqooyi Galbeed,nw
laambuul,16,Buur Hakaba,Bay,bay
laamiye,8,Iskushuban,Bari,deeh
laanbuule,16,Baydhaba,Bay,bay
xoogfaras,1,Lughaye,Awdal,guban
laangaras,16,Baydhaba,Bay,bay
laanle,5,Cabudwaaq,Galgaduud,hawd
laanqiciyesatellite,7,Ceerigaabo,Sanaag,east golis
xoore,1,Lughaye,Awdal,guban
laantaqaloocan,3,Hargeysa,Woqooyi Galbeed,nw
laantigaraska,16,Baydhaba,Bay,bay
laasdhuure,2,Berbera,Woqooyi Galbeed,west golis
laasdoomaare,6,Ceel Afweyn,Sanaag,nip
laasmagugle,6,Laas Caanood,Sool,nip
laasoceelberdaale,6,Laas Caanood,Sool,nip
laasocudan,6,Xudun,Sool,nip
laasodaar,5,Buuhoodle,Togdheer,hawd
laasodawaco,2,Berbera,Woqooyi Galbeed,west golis
laasqoray,7,Laasqoray,Sanaag,east golis
laasxadhaadh,3,Gebiley,Woqooyi Galbeed,nw
laasxig,2,Berbera,Woqooyi Galbeed,west golis
laasxuluys,7,Laasqoray,Sanaag,east golis
laayo,3,Gebiley,Woqooyi Galbeed,nw
labaatanjirow,16,Baydhaba,Bay,bay
labeey,16,Buur Hakaba,Bay,bay
labisaab,16,Qansax Dheere,Bay,bay
ladega,8,Eyl,Nugaal,deeh
lafagaale,17,Afgooye,Shabelle Hoose,rainfed
lafaruug,2,Berbera,Woqooyi Galbeed,west golis
lafawayne,6,Xudun,Sool,nip
laftaboqorka,3,Gebiley,Woqooyi Galbeed,nw
laftafarawayne,3,Hargeysa,Woqooyi Galbeed,nw
laftatiinka,3,Gebiley,Woqooyi Galbeed,nw
lafweyne,6,Xudun,Sool,nip
lamaqasaley,16,Diinsoor,Bay,bay
lamawaab,14,Jowhar,Shabelle Dhexe,riverine
lamowarood,16,Diinsoor,Bay,bay
laqlaajis,5,Burtinle,Nugaal,hawd
laquraqsay,5,Cadaado,Galgaduud,hawd
lasacardin,6,Xudun,Sool,nip
lasmihin,7,Laasqoray,Sanaag,east golis
lasodawaco,6,Bossaso,Bari,nip
lasxadow,5,Cabudwaaq,Galgaduud,hawd
lawiilay,16,Baydhaba,Bay,bay
lawiiley,16,Buur Hakaba,Bay,bay
xussein,1,Lughaye,Awdal,guban
lebbiguun,5,Burco,Togdheer,hawd
leberare,5,Burco,Togdheer,hawd
lebiga,14,Jowhar,Shabelle Dhexe,riverine
lebilamaane,9,Jariiban,Mudug,addun
leego,16,Buur Hakaba,Bay,bay
lees,16,Buur Hakaba,Bay,bay
leheley,16,Diinsoor,Bay,bay
libaaxo,5,Burtinle,Nugaal,hawd
libaaxxar,6,Qardho,Bari,nip
libow,6,Qardho,Bari,nip
ligsoy,16,Baydhaba,Bay,bay
liimaale,16,Buur Hakaba,Bay,bay
likooley,11,Belet Xaawo,Gedo,southern
liqaan,6,Qardho,Bari,nip
loleys,11,Belet Xaawo,Gedo,southern
loojar,16,Baydhaba,Bay,bay
lookaaroor,3,Gebiley,Woqooyi Galbeed,nw
lowibuul,16,Baydhaba,Bay,bay
lowigerjeele,16,Baydhaba,Bay,bay
lowiiqa,16,Buur Hakaba,Bay,bay
lufa,16,Buur Hakaba,Bay,bay
lughabar,16,Buur Hakaba,Bay,bay
maadanleedi,16,Baydhaba,Bay,bay
maadhyaal,3,Hargeysa,Woqooyi Galbeed,nw
maadinlay,16,Baydhaba,Bay,bay
maagey,14,Balcad,Shabelle Dhexe,riverine
maakayyeele,16,Buur Hakaba,Bay,bay
maalama,16,Buur Hakaba,Bay,bay
maalimfooge,16,Buur Hakaba,Bay,bay
maalimiinta,16,Diinsoor,Bay,bay
maalindheere,16,Diinsoor,Bay,bay
maalinmad,16,Baydhaba,Bay,bay
maaranka,16,Baydhaba,Bay,bay
maarankawiin,16,Baydhaba,Bay,bay
maaxsatellite,7,Ceerigaabo,Sanaag,east golis
maaykofuuri,16,Buur Hakaba,Bay,bay
macalinabshir,16,Baydhaba,Bay,bay
macruuf,16,Buur Hakaba,Bay,bay
madahool,16,Baydhaba,Bay,bay
madarmoge,7,Ceerigaabo,Sanaag,east golis
madarmugle,7,Ceerigaabo,Sanaag,east golis
mademed,16,Buur Hakaba,Bay,bay
madhawey,16,Buur Hakaba,Bay,bay
madheera,2,Hargeysa,Woqooyi Galbeed,west golis
madhoweey,13,Luuq,Gedo,riverine
madieriin,16,Baydhaba,Bay,bay
madiini,16,Baydhaba,Bay,bay
madisagaari,16,Baydhaba,Bay,bay
madlooyin,9,Jariiban,Mudug,addun
madmacalin,16,Baydhaba,Bay,bay
madooy,16,Baydhaba,Bay,bay
madowbuure,16,Buur Hakaba,Bay,bay
madoweey,16,Buur Hakaba,Bay,bay
madshantaay,16,Buur Hakaba,Bay,bay
madsharif,16,Diinsoor,Bay,bay
magaalaqalooc,3,Borama,Awdal,nw
magaalocad,3,Borama,Awdal,nw
magaalokuul,3,Hargeysa,Woqooyi Galbeed,nw
magaalonuura,3,Hargeysa,Woqooyi Galbeed,nw
magaaloxaali,3,Hargeysa,Woqooyi Galbeed,nw
magaaloxayd,3,Gebiley,Woqooyi Galbeed,nw
magaaloxoosh,3,Hargeysa,Woqooyi Galbeed,nw
magadley,14,Jowhar,Shabelle Dhexe,riverine
maguurta,16,Baydhaba,Bay,bay
maguurtobaalgure,17,Afgooye,Shabelle Hoose,rainfed
majiidi,16,Baydhaba,Bay,bay
makaada,16,Baydhaba,Bay,bay
makaadi,16,Buur Hakaba,Bay,bay
makaran,16,Baydhaba,Bay,bay
makaxidainanta,3,Hargeysa,Woqooyi Galbeed,nw
makayeddi,16,Buur Hakaba,Bay,bay
makiinaymogow,16,Baydhaba,Bay,bay
makiiney,16,Baydhaba,Bay,bay
makuudo,16,Baydhaba,Bay,bay
malalaaylle,16,Baydhaba,Bay,bay
malawley,3,Hargeysa,Woqooyi Galbeed,nw
malincusman,16,Buur Hakaba,Bay,bay
malindheere,16,Diinsoor,Bay,bay
maluugta,2,Hargeysa,Woqooyi Galbeed,west golis
mandheere,14,Balcad,Shabelle Dhexe,riverine
mansur,16,Buur Hakaba,Bay,bay
mansuur,14,Jowhar,Shabelle Dhexe,riverine
maqaaxidainantabari,2,Hargeysa,Woqooyi Galbeed,west golis
maqarcarays,14,Balcad,Shabelle Dhexe,riverine
maqdas,14,Balcad,Shabelle Dhexe,riverine
maraaga,3,Hargeysa,Woqooyi Galbeed,nw
marawade,7,Ceerigaabo,Sanaag,east golis
mareegaley,2,Baki,Awdal,west golis
mareegi,16,Baydhaba,Bay,bay
mareer,9,Jariiban,Mudug,addun
mareerbugley,16,Baydhaba,Bay,bay
mareerguur,5,Dhuusamarreeb,Galgaduud,hawd
mariadow,16,Buur Hakaba,Bay,bay
markaa,16,Buur Hakaba,Bay,bay
marmardoole,16,Baydhaba,Bay,bay
maroodile,17,Jowhar,Shabelle Dhexe,rainfed
marsamage,9,Cadaado,Galgaduud,addun
marsheed,7,Qandala,Bari,east golis
maryamkeynaan,17,Jowhar,Shabelle Dhexe,rainfed
masagan,7,Ceerigaabo,Sanaag,east golis
mashruuca,6,Caynabo,Sool,nip
maskoofuuri,16,Buur Hakaba,Bay,bay
masle,6,Ceel Afweyn,Sanaag,nip
masusoow,16,Buur Hakaba,Bay,bay
masuubiye,16,Baydhaba,Bay,bay
matan,3,Gebiley,Woqooyi Galbeed,nw
matuutow,16,Baydhaba,Bay,bay
maxamedaxmed,5,Hargeysa,Woqooyi Galbeed,hawd
maxamedugaas,5,Burco,Togdheer,hawd
maydh,7,Ceerigaabo,Sanaag,east golis
mayfuurey,16,Buur Hakaba,Bay,bay
maygaag,7,Qandala,Bari,east golis
maygaagta,3,Hargeysa,Woqooyi Galbeed,nw
mayoongaale,14,Jowhar,Shabelle Dhexe,riverine
mayqonsati,16,Baydhaba,Bay,bay
meeraysane,5,Burtinle,Nugaal,hawd
meheey,16,Buur Hakaba,Bay,bay
meleglow,16,Baydhaba,Bay,bay
meygaag,6,Qardho,Bari,nip
midhasi,7,Ceerigaabo,Sanaag,east golis
midhishi,7,Ceerigaabo,Sanaag,east golis
midigale,7,Laasqoray,Sanaag,east golis
midow,16,Baydhaba,Bay,bay
midowaari,16,Buur Hakaba,Bay,bay
miguurti,16,Baydhaba,Bay,bay
miidey,16,Baydhaba,Bay,bay
miiri,16,Baydhaba,Bay,bay
miiskaroon,16,Buur Hakaba,Bay,bay
milleel,16,Baydhaba,Bay,bay
mindhig,16,Baydhaba,Bay,bay
mindigle,6,Laasqoray,Sanaag,nip
mindiiledumi,16,Baydhaba,Bay,bay
minokuroon,16,Buur Hakaba,Bay,bay
mintaanka,16,Baydhaba,Bay,bay
mintaanmayow,16,Qansax Dheere,Bay,bay
mintani,16,Baydhaba,Bay,bay
mintanoyarey,16,Baydhaba,Bay,bay
miradhuubow,13,Luuq,Gedo,riverine
mirig,5,Dhuusamarreeb,Galgaduud,hawd
mirjicle,5,Cabudwaaq,Galgaduud,hawd
miroaruundo,14,Balcad,Shabelle Dhexe,riverine
misaari,16,Buur Hakaba,Bay,bay
misgaale,16,Baydhaba,Bay,bay
mishaani,16,Buur Hakaba,Bay,bay
miskiroon,16,Buur Hakaba,Bay,bay
miskoron,16,Buur Hakaba,Bay,bay
misnagata,16,Buur Hakaba,Bay,bay
mitaanti,16,Buur Hakaba,Bay,bay
modooda,16,Baydhaba,Bay,bay
mogdiile,16,Baydhaba,Bay,bay
mooda,6,Ceel Afweyn,Sanaag,nip
moodamooda,16,Baydhaba,Bay,bay
moogaay,16,Diinsoor,Bay,bay
moonay,16,Buur Hakaba,Bay,bay
moorajiido,17,Jowhar,Shabelle Dhexe,rainfed
mooriboor,16,Buur Hakaba,Bay,bay
moorifaari,16,Diinsoor,Bay,bay
moorigawaan,16,Buur Hakaba,Bay,bay
moorisagaari,16,Buur Hakaba,Bay,bay
moorobuus,16,Baydhaba,Bay,bay
moqdor,16,Buur Hakaba,Bay,bay
moqor,7,Iskushuban,Bari,east golis
morafara,16,Buur Hakaba,Bay,bay
morogolole,16,Buur Hakaba,Bay,bay
moroiidow,14,Jowhar,Shabelle Dhexe,riverine
moroogow,16,Buur Hakaba,Bay,bay
morothiley,16,Buur Hakaba,Bay,bay
moyaale,14,Balcad,Shabelle Dhexe,riverine
moyka,14,Jowhar,Shabelle Dhexe,riverine
mukidheere,14,Balcad,Shabelle Dhexe,riverine
muktar,16,Diinsoor,Bay,bay
mukudheere,14,Balcad,Shabelle Dhexe,riverine
munyow,16,Buur Hakaba,Bay,bay
murcanyo,7,Caluula,Bari,east golis
mureec,5,Owdweyne,Togdheer,hawd
muriale,14,Balcad,Shabelle Dhexe,riverine
murmurka,16,Baydhaba,Bay,bay
mursalborow,16,Baydhaba,Bay,bay
mushka,16,Diinsoor,Bay,bay
mushxaleed,7,Laasqoray,Sanaag,east golis
muudiye,7,Iskushuban,Bari,east golis
muuryaale,14,Balcad,Shabelle Dhexe,riverine
muusaqudaar,5,Buuhoodle,Togdheer,hawd
nibkisaar,16,Baydhaba,Bay,bay
nurowyarow,16,Baydhaba,Bay,bay
nusbiile,16,Buur Hakaba,Bay,bay
nuukaay,14,Jowhar,Shabelle Dhexe,riverine
nuurodawaa,2,Zeylac,Awdal,west golis
oalaanqale,5,Gaalkacyo,Mudug,hawd
oboycaasha,16,Baydhaba,Bay,bay
obsiiye,5,Owdweyne,Togdheer,hawd
geerisa,1,Lughaye,Awdal,guban
olda,16,Baydhaba,Bay,bay
olol,5,Cabudwaaq,Galgaduud,hawd
oobaale,14,Jowhar,Shabelle Dhexe,riverine
oodaale,5,Cabudwaaq,Galgaduud,hawd
oodin,16,Buur Hakaba,Bay,bay
oog,6,Caynabo,Sool,nip
ooman,5,Garoowe,Nugaal,hawd
oore,16,Baydhaba,Bay,bay
ordolowangel,16,Baydhaba,Bay,bay
orogdi,16,Buur Hakaba,Bay,bay
oroma,3,Hargeysa,Woqooyi Galbeed,nw
oroow,16,Buur Hakaba,Bay,bay
oroshi,16,Baydhaba,Bay,bay
owdheerow,16,Baydhaba,Bay,bay
owli,16,Baydhaba,Bay,bay
oxolo,16,Baydhaba,Bay,bay
primozendoasiindadakoo,14,Jowhar,Shabelle Dhexe,riverine
qaahirayarey,16,Baydhaba,Bay,bay
qaanlaaye,7,Qandala,Bari,east golis
qaaqi,16,Baydhaba,Bay,bay
qaararsoor,6,Qardho,Bari,nip
qabaale,16,Buur Hakaba,Bay,bay
qabridhaweel,3,Gebiley,Woqooyi Galbeed,nw
qabuurta,2,Baki,Awdal,west golis
qadiidliwiin,16,Buur Hakaba,Bay,bay
qadiidliyarey,16,Buur Hakaba,Bay,bay
qahirawiin,16,Baydhaba,Bay,bay
qalamow,16,Baydhaba,Bay,bay
qalangashe,16,Buur Hakaba,Bay,bay
qaloocan,3,Hargeysa,Woqooyi Galbeed,nw
qaloocato,7,Ceerigaabo,Sanaag,east golis
qalwo,6,Qardho,Bari,nip
qandahaar,5,Burco,Togdheer,hawd
qanreedi,16,Buur Hakaba,Bay,bay
qaradhi,5,Cabudwaaq,Galgaduud,hawd
qarancad,3,Gebiley,Woqooyi Galbeed,nw
qarankakobuqoodi,16,Buur Hakaba,Bay,bay
qaranki,16,Buur Hakaba,Bay,bay
qararrooyin,5,Buuhoodle,Togdheer,hawd
qardale,16,Buur Hakaba,Bay,bay
qariib,16,Qansax Dheere,Bay,bay
qarimey,16,Baydhaba,Bay,bay
qarwaraabe,3,Hargeysa,Woqooyi Galbeed,nw
qarxis,6,Eyl,Nugaal,nip
qasaaleyeesmindile,16,Baydhaba,Bay,bay
qasaley,16,Diinsoor,Bay,bay
qasalow,16,Baydhaba,Bay,bay
qaw,7,Bossaso,Bari,east golis
qawanka,16,Buur Hakaba,Bay,bay
qeedey,16,Baydhaba,Bay,bay
qeydari,16,Baydhaba,Bay,bay
qodqod,16,Diinsoor,Bay,bay
qol,6,Taleex,Sool,nip
qoljiid,14,Afgooye,Shabelle Hoose,riverine
qolqolkamadoobesatellite,5,Owdweyne,Togdheer,hawd
qondho,16,Baydhaba,Bay,bay
qoolcaday,3,Hargeysa,Woqooyi Galbeed,nw
qoolgoodire,5,Burco,Togdheer,hawd
qoolka,3,Gebiley,Woqooyi Galbeed,nw
qoondhalow,16,Baydhaba,Bay,bay
qooney,11,Luuq,Gedo,southern
qoralahe,7,Ceerigaabo,Sanaag,east golis
qorantole,16,Buur Hakaba,Bay,bay
qoraxjiif,7,Laasqoray,Sanaag,east golis
qoridheere,6,Caynabo,Sool,nip
qoriiley,5,Laas Caanood,Sool,hawd
qorijabley,5,Hargeysa,Woqooyi Galbeed,hawd
qorilugud,5,Buuhoodle,Togdheer,hawd
qormobuurcad,6,Qardho,Bari,nip
qoryaale,8,Eyl,Nugaal,deeh
qoton,6,Bandarbeyla,Bari,nip
qotondabo,5,Hargeysa,Woqooyi Galbeed,hawd
qotonqardhiile,2,Baki,Awdal,west golis
qotonweyne,5,Hargeysa,Woqooyi Galbeed,hawd
qoyon,6,Ceerigaabo,Sanaag,nip
qsali,2,Baki,Awdal,west golis
qudhacdheer,5,Burco,Togdheer,hawd
qudhackudle,5,Owdweyne,Togdheer,hawd
qudhacsafar,5,Burco,Togdheer,hawd
qudiqodeen,16,Baydhaba,Bay,bay
qulule,8,Eyl,Nugaal,deeh
quracadheer,5,Garoowe,Nugaal,hawd
qurinli,16,Buur Hakaba,Bay,bay
qurunlowasharaaf,16,Baydhaba,Bay,bay
qurunlowreerdumal,16,Baydhaba,Bay,bay
qururuxley,2,Hargeysa,Woqooyi Galbeed,west golis
quud,2,Baki,Awdal,west golis
raad,7,Laasqoray,Sanaag,east golis
raaro,16,Buur Hakaba,Bay,bay
raaswini,16,Buur Hakaba,Bay,bay
rabbaable,5,Garoowe,Nugaal,hawd
ragcadeeye,7,Ceerigaabo,Sanaag,east golis
rakala,16,Baydhaba,Bay,bay
rako,6,Qardho,Bari,nip
ramude,16,Buur Hakaba,Bay,bay
raqassatellite,7,Ceel Afweyn,Sanaag,east golis
raqayle,14,Balcad,Shabelle Dhexe,riverine
raqeylow,14,Balcad,Shabelle Dhexe,riverine
rascade,16,Diinsoor,Bay,bay
raxiimo,16,Baydhaba,Bay,bay
raydaba,16,Buur Hakaba,Bay,bay
raydabale,16,Baydhaba,Bay,bay
raydabkhaatumo,5,Owdweyne,Togdheer,hawd
raydable,5,Burtinle,Nugaal,hawd
raydabo,16,Qansax Dheere,Bay,bay
raydabow,16,Buur Hakaba,Bay,bay
raydabti,16,Buur Hakaba,Bay,bay
rebooy,16,Buur Hakaba,Bay,bay
reebay,16,Buur Hakaba,Bay,bay
reemanti,5,Burtinle,Nugaal,hawd
reeraykuuley,16,Buur Hakaba,Bay,bay
reermantaan,16,Buur Hakaba,Bay,bay
reydabaal,16,Baydhaba,Bay,bay
reydabaaley,16,Baydhaba,Bay,bay
riba,16,Diinsoor,Bay,bay
robaygaduud,16,Baydhaba,Bay,bay
roobay,16,Baydhaba,Bay,bay
roobayhule,16,Baydhaba,Bay,bay
rooble,16,Buur Hakaba,Bay,bay
rooblisheekh,16,Buur Hakaba,Bay,bay
roox,5,Galdogob,Mudug,hawd
rowli,16,Buur Hakaba,Bay,bay
rugay,7,Ceerigaabo,Sanaag,east golis
ruguda,7,Ceerigaabo,Sanaag,east golis
rukuuda,7,Ceel Afweyn,Sanaag,east golis
runyo,7,Caluula,Bari,east golis
ruqi,3,Baki,Awdal,nw
ruqiya,16,Buur Hakaba,Bay,bay
ruqoole,16,Baydhaba,Bay,bay
saadhuumaay,13,Doolow,Gedo,riverine
sabaayo,6,Ceerigaabo,Sanaag,nip
bariisle,1,Zeylac,Awdal,guban
sabiyo,16,Baydhaba,Bay,bay
sabriye,16,Baydhaba,Bay,bay
sabuun,14,Jowhar,Shabelle Dhexe,riverine
sabyo,14,Afgooye,Shabelle Hoose,riverine
sabyoweyn,14,Afgooye,Shabelle Hoose,riverine
saclamood,2,Gebiley,Woqooyi Galbeed,west golis
